snippet,price change,News Sent.
Office workers who fumble through dialing into conference call numbers could soon have Amazons Alexa start the meetings for them Gov Jerry Brown thinks Democrats know best Also in this newsletter Activists fear Arctic drilling is a Trojan horse Amazoncom Inc wants to be your new executive assistant at work,neg,neg
YouTube has taken down the lectures and sermons of the Qaeda recruiter Anwar alAwlaki That will save lives,pos,neg
"One of Europes largest startup events opened Thursday in Finland, with , companies and , investors networking and negotiating funding, as the region looks to ramp up an industry that has long struggled to compete with the tech giants of t",neg,neg
"Microsoft is overhauling its longtime headquarters with an building construction project that will make room for another , workers The price of a single bitcoin has pierced the , level and some experts say it could rise further The worlds most popular virtual currency allows people to buy goods and services and exchange money without involving banks, credit card issue Gov Jerry Brown of California will headline ClimateTECH, a new conference from The New York Times, on Wednesday night Heres how to watch and what to know Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated Finnish network equipment maker Nokia said on Wednesday that it was not in talks to buyUS network gear maker Juniper Networks Inc despite earlier reports to the contrary Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated The internet retailer used an annual conference to show how machine learning will spur growth at Amazon Web Services, its most profitable business Some early Flipkart IPOFLPKN investors, employees and exemployees are selling their shares in the Indian ecommerce firm as part of a  billion investment deal agreed with Japans SoftBank Group, two people familiar with the matter said on",neg,pos
"The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash, to create a more urban atmosphere Over the last decade, a few giant corporations became an inescapable part of online life Gutting net neutrality would cement their power Two decades ago, big companies wagered that they could save billions by shifting profits overseas Under Republican tax plans, those bets would pay off Two senators have argued that big corporations are being given preferential treatment compared with passthroughs The problem that is wrong",pos,neg
"Explore the history of PC gaming and the top trends driving its growth today  A memo from the Immigration and Customs Enforcement bureau says the firms commercial products may be sending sensitive information about US infrastructure back to China, raising security concerns",neg,neg
Holiday shopping has already made the season merry for Amazon founder Jeff Bezos Ambiguities in the yearold Outer Space Treaty may be getting in the way of entrepreneurs seeking opportunities elsewhere in our solar system Russias communications watchdog Roskomnadzor said on Monday it would check next year if Twitter has complied with the law requiring all companies to store personal data of Russian citizens on Russian soil One of the pioneers of socalled computer vision is working on ways to deal with issues his old ideas could not solve,pos,neg
"Some information technology companies are growing so concerned about their inability to find enough digital talent that theyre training their own Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favoured areas of the market Some information technology companies are growing so concerned about not find enough digital talent that theyre training their own US stocks set more records in quiet postholiday trading Friday as technology companies again did much of the heavy lifting Energy companies rose with the price of oil Thorn, a nonprofit founded by Demi Moore and Ashton Kutcher, helps law enforcement agencies sort through sex listings",pos,neg
"Salesforcecom Inc forecast fourthquarter profit slightly below market expectations, hurting its shares even as profits and revenues rose on the back of strong demand for its cloudbased sales and marketing software  Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favored areas of the market The US Federal Communications Commission is poised to vote on Dec  to rescind the socalled net neutrality rules championed by former President Barack Obama",neg,neg
"Skype, Microsoft Corps internet phone call and messaging service, has disappeared from app stores in China including that of Apple Inc, indicating the latest setback for a foreign tech service in the country The rich text format for wordprocessing documents is versatile, but saving an RTF file as a PDF gives it even more compatibility",neg,neg
"Tencent Holdings Ltd has racked up some impressive gains this week  becoming the first Chinese firm to be worth more than  billion  billion and surpassing Facebook to be the worlds fifthmost valuable company The app still functions in China, but its fate there is unclear as the government moves against foreignrun tools for online communication",neg,neg
"As machine learning becomes more powerful, the fields researchers increasingly find themselves unable to account for what their algorithms know  or how they know it",neg,neg
Saudi Arabian security officials said on Monday that the country had been targeted as part of a wideranging cyber espionage campaign observed since February against five Middle East nations as well as several countries outside the region Just why the president shelved his own administrations rule on bringing hunt trophies into the country  a weighty query  is the elephant in the room Asian stocks rose Wednesday after Wall Street hit new highs ahead of the twoday US break for the Thanksgiving holiday,neg,neg
The Justice Department plans to file a lawsuit aimed at blocking ATTs  billion bid for Time Warner,neg,neg
"A list of the winners at the  American Music Awards, held Sunday night at the Microsoft Theater in Los Angeles",neg,neg
Heres what you need to know to start your day,pos,neg
"Funding and startups are concentrated on the coasts, especially in California But there are signs of an entrepreneurial awakening in the heartland, where talent is rich but prices arent",neg,neg
"The  American Music Awards marked a night of unison, positive vibes and American pride as musicians spoke about coming together in a year dominated by natural disasters, violence and divisive politics",neg,neg
"The president reversed his own administrations decision in an evening tweet, prohibiting trophies of killed elephants from being brought into the country",neg,neg
"Retailers and smaller US companies jumped again Friday as they continued to report strong thirdquarter results, but technology companies and other big US corporations couldnt add to the previous days gains Simple blood tests may soon be able to deliver alarming news about your cognitive health The US Supreme Court is set to consider a major cellphone privacy case later this month, but leading players in the wireless industry that is at the center of the closely watched dispute are keeping their distance",neg,pos
"The holidays are replete with streaming movies for and about Christmas, but what options does a movie lover have for the day that kicks off the season",pos,neg
"Leading researchers castigated a federal plan that would use artificial intelligence methods to scrutinize immigrants and visa applicants, saying it is unworkable as written and likely to be inaccurate and biased if deployed The US Fish and Wildlife Service said it planned to reverse a ban on the imports from Zimbabwe, following its earlier move to allow them from Zambia",pos,neg
"For Seattle, Amazon has become far more than a big employer and taxpayer",neg,neg
Phone companies will have greater authority to block unwanted calls from reaching customers as regulators adopted new rules to combat automated messages known as robocalls Billionaire entrepreneur and potential presidential candidate Mark Cuban said on Wednesday that a cut in the US corporate tax rate would have little to no effect on his investment decisions,neg,neg
"FertilityIQ analyzed benefits at  employers across several industries Most, it said, have minimal or no coverage for treatments, which can cost , and up",pos,neg
"Microsofts online communication service Skype lost an appeal in Belgium after it failed to comply with a court request to share data from messages and calls If you dont want the D shadow on screenshots you take of macOS desktop windows, you just need to know the keyboard shortcut",neg,neg
"Apple is leading the way in tracing cobalt used in its electronics to ensure the metal has not been mined by children in Democratic Republic of Congo while Microsoft is lagging, Amnesty International said Apple is leading the way in tracing cobalt used in its electronics to ensure the metal has not been mined by children in Democratic Republic of Congo while Microsoft is lagging, Amnesty International said",neg,neg
"Your smartphone is not deliberately losing speed just because your phone maker has a new gadget for sale For devices that do slow down, here are some fixes",neg,neg
Heres what you need to know to start your day,neg,neg
"The attorney general refrained from offering his view on the proposed deal, as the Justice Department weighs whether to sue to block the transaction",pos,neg
"Heres why the Republican tax plans are such a boondoggle The new wave of artificial intelligence will reduce jobs, but will also improve your health and products like your smartphone Robert Schoelkopf helped create technology that promises to deliver the machines of tomorrow at Google and IBM Now, he is giving them some competition",pos,neg
"As President Trump dismissed global trade talks, the other members of the TransPacific Partnership revived a major multinational agreement that would include American allies Intellectual property theft is not new, but its more widespread, experts say, thanks to tiny cameras and microphones or compromised WiFi networks",pos,neg
"Two new books offer startlingly different conclusions on Silicon Valleys influence on our economy, culture and politics The careers and networking service will no longer accept job ads from individuals in China, as Beijing cracks down on abusive pyramid schemes If you set up your mail accounts with the IMAP standard on your computer and mobile gadgets, keeping your mailboxes in sync is much easier",neg,neg
"When you decide its time to leave Google for another service, you can download a complete archive of all the files and data you used with Google products",pos,neg
"Jaron Laniers house and his new book, Dawn of the New Everything, are both crammed full of strange and mesmerizing stuff Did Al Gore invent the internet or not",neg,neg
The industry is pushing out a diverse lineup of titles and promoting new consoles to compete for peoples wallets,neg,neg
"How will sex, death and liability change on the road to the driverless revolution",neg,neg
