snippet,price change,News Sent.
"Is Santa Claus coming to town Wall Street thinks so, even though stocks have already exceeded most expectations this year The US Food and Drug Administration on Thursday cleared a device embedded in an Apple Inc watch band that monitors a users heart rate, detects when something is amiss and prompts the user to take an electrocardiogram The album, which was released three weeks ago and withheld from streaming, is already the bestselling record of the year",neg,neg
"European shares fell back on Thursday and marked their biggest monthly fall since June as profit taking kicked in after stellar gains this year Qualcomm Inc said on Thursday it filed three new patent infringement complaints against Apple Inc, saying there were  more of its patents that Apple was using in its iPhones A range of new books offering advice to gardeners, hikers and amateur naturalists, with detours back to colonial America and even Middleearth We look at President Trumps role in the Republican tax plan and at the furor he set off by sharing extremist videos The Dow Jones industrial average is making ,point gains look easy Amazoncom Inc wants to be your new executive assistant at work Apple is designing its own powermanagement chips for use in iPhones as early as , the Nikkei business daily reported on Thursday, triggering a more than  percent slide in shares of supplier Dialog Semiconductor",pos,neg
"Google, which prides itself on developing simple, intuitive software that seems to know what you want almost before you do, is finding itself in a very different world when it comes to its own phones and other gadgets A decision by Wisconsins Racine County to give financial assistance to Taiwanbased Foxconn to build a massive liquidcrystal display plant has led to a credit rating downgrade for the county   ",neg,neg
"On the followup to the  album Songs of Innocence, the band sets out to counter the despair of  with love and optimism A memo from the Immigration and Customs Enforcement bureau says the firms commercial products may be sending sensitive information about US infrastructure back to China, raising security concerns",neg,neg
"Previously reluctant to show the autonomous vehicles it is developing, General Motors now wants to signal its progress in getting them to market Apple Inc on Wednesday filed a countersuit against Qualcomm Inc, alleging that Qualcomms Snapdragon mobile phone chips that power a wide variety of Androidbased devices infringe on Apples patents, the latest development in a longrunning disput When the phone rings and you cant or dont want to answer the call, you can send it directly to voice mail even if your phone is locked Tech tools make it easy to efficiently share large numbers of photos with your family Here are some of the best approaches Emily Steel, a media reporter for The Times, uses encrypted messaging apps and plenty of new tech But she still harbors a love for the telephone Apple Inc said on Wednesday it would review its software development process a day after a researcher discovered a bug in a new version of its Mac operating system that could give hackers total control of vulnerable machines Notable new seasonal releases from a wide variety of artists, including Gwen Stefani, Sia, Herb Alpert and Liz McComb And some goldenoldie reissues",neg,neg
"Selftaught rocket scientist Mad Mike Hughes wont allow a little red tape to get in the way of his green light for a launch Its planning to end net neutrality while opposing the Time Warner and ATT merger This doesnt make sense ATampT Inc and Time Warner Inc argued on Tuesday that their proposed  billion merger was procompetitive and proconsumer, as they sought to refute US Justice Department allegations that the deal breaks antitrust law Scientists thought that invasive large snails spelled doom for endangered North American snail kites, until some of the birds started eating them Shares of Facebook, Apple and other technology heavyweights dropped on Wednesday, creating uncertainty over whether the topperforming sectors recordbreaking rally this year is ending or merely taking a break  Asian shares fell on Thursday, weighed down by a plunge in highflying technology shares, a move that some see as a healthy correction after a strong rally but others believe may herald the peak of a super cycle that has been boosting the sector The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash, to create a more urban atmosphere Over the last decade, a few giant corporations became an inescapable part of online life Gutting net neutrality would cement their power Two decades ago, big companies wagered that they could save billions by shifting profits overseas Under Republican tax plans, those bets would pay off The American government has yet to compensate any of the families of the thousands of civilian casualties from the USled battle against ISIS Why The European Commission published patent licensing guidelines on Wednesday aimed at avoiding disputes such as those that have ensnared Qualcomm and Apple, while balancing the interests of patent holders and users The Nasdaq posted its biggest oneday drop in more than three months on Wednesday as investors fled highflying technology  stocks and shifted to banks and other pockets of the market that could benefit from improving economic conditions, lower re",pos,neg
"New cookbooks to make you feel good, along with books of cakes and cookies to make you feel happy And, for the brave, recipes for notsoawful offal Tuesday Meditation tips for a stressful time of year, free ice skating and the librarys top books for kids We look at the messy public fight for control of the governments top consumer financial watchdog and at the deregulatory pressures it faces Other industrialized countries offer an example, providing better wages and conditions for retail workers while employers still profit iTunes Movies US charts for week ending November ,  App Store Official Charts for the week ending November ,  iBook charts for week ending November ,   Rank, Book Title by Author Name, ISBN, Publisher  While the Pac North was being decided in Seattle, Pac South champion Southern California was enjoying an overdue day off Cineworld Group Plc, a British operator of movie theaters, is in talks to acquire US peer Regal Entertainment Group for approximately  billion  billion pounds in cash, the companies said on Tuesday  Cineworld Group Plc, a British operator of movie theaters, is in talks to acquire US peer Regal Entertainment Group for approximately  billion in cash, the companies said on Tuesday ",pos,neg
"The holiday is over Maybe its time to make food that tastes nothing like Thanksgiving In other games, Oklahoma, Wisconsin, Georgia and Penn State romped The Supreme Court is set to hear a blockbuster clash on privacy rights in the electronic age It started with stolen smartphones A string of armed robberies in the Midwest has led to what could be the most important case on electronic rights to go before the justices Soaring shares of Apple Inc, Alphabet Inc and Tencent Holdings Ltd this year have made technology a top global performer, with few signs that investors are worried that rising valuations might be increasing the risk of a downturn Shale oil engineer Oscar Portillo spends his days drilling as many as five wells at once  without ever setting foot on a rig Residents of an exclusive San Francisco neighborhood who failed to pay taxes on their private, gated street for two decades got the street back Tuesday after supervisors voted to rescind the sale of the taxdefaulted property",pos,neg
"Many of my Stanford classmates and I had plans to use our education to contribute to this country Instead, were being kicked out The mobile app for the social network can be a bit of a battery hog, but you can do a few things to rein in the power grab Americans who were driven to shop for Christmas deals  and turn a profit  were in line early and on their devices in droves",pos,neg
"Mr Mugabe has resigned as president of Zimbabwe after nearly four decades in power Will he be remembered as a tyrant, or as a hero Space shuttle launches were Earthrattling when seen in person Now rocket launches can be covered through an iPhone, says Kenneth Chang, who covers space for The Times",neg,neg
