date,snippet
2015-12-01,"Mike is a medieval witch hunter, as Farhad retreats into Mario Microsofts grab for Slacks lunch is discussed And Amazon could do better at inspiring shopping Microsofts Windows Movie Maker app is headed for retirement next year, but an updated version is promised and other programs may fill the void Legal experts say Donald Trumps election could change how vigorously the federal government handles two giant deals and others in the industry Rethink is the British journalist Steven Pooles attack on what he calls a Silicon Valley ideology The Anger Room in Dallas and other businesses that let people break things to release their rage have gained customers, especially during the election season Youngestever finalists  one from Norway, one from Russia  compete for the games ultimate award The wood products and timberlands company shifts its  employees to new headquarters in the Pioneer Square district, in part because of the areas recruitment value"
2015-12-02,"Get your Sundaynight groove on with the American Music Awards And the troubled story of Noah Solloway resumes on The Affair Heres what you need to know to start your day A Russian and a Norwegian are battling in a contest that is once again taking place during escalating tensions among Russia, the United States and Western Europe"
2015-12-03,"Shares of Target rose after the retailer reported strong sales and released an optimistic forecast for the holiday shopping season The recent successful sales of Impressionist, modern and contemporary art in New York showed that auction houses are now attracting bluechip artworks, albeit with financial inducements The house that once trailed behind Sothebys and Christies is now primed to compete with them, hiring their experts and offering more guarantees at sales"
2015-12-04,Benchmark United States crude oil rose almost  a barrel on the New York Mercantile Exchange
2015-12-06,"The computer giant says its ready to start planning a prototype quantum computer, a superpowerful device that relies on subatomic particles instead of transistors"
2015-12-08,"In charges brought recently against Google and earlier against Microsoft, officials say that each company favored some of its services over those of rivals The host Stephen J Dubner and panelists consider mules, their defenders and other wonders of the natural world, including marine animals that will either live forever or kill you  or both Here are some basic actions for making your personal data more difficult for attackers to access GaymerX East, a convention that embraces gender diversity in gaming, took place amid fears of a Trumpera backlash"
2015-12-09,"Were open sourcing our video transcoding API and video encoding presets, as part of our plan to open source our video encoding and distribution pipeline Heres what you need to know to start your day Tax reform is one thing Presidentelect Donald J Trump and Speaker Paul Ryan can agree on, broadly, though the specifics can get thorny"
2015-12-10,"This month, we added support for degree videos into our core news products  and today, were open sourcing our  video framework for iOS and  presets At a time when the city can seem unbearably expensive and the price of a subway ride is set to increase again, attention has turned to a cost that many struggle to afford a MetroCard Shares of Harman International soared after the company agreed to be acquired by Samsung Electronics"
2015-12-11,"The show will take a comic look at young political reporters against the backdrop of covering a presidential campaign Amid continuing low oil and natural gas prices, companies are again turning to tech advances to cut costs, raise productivity and expand exploration"
2015-12-12,"Predictive analytics, and election forecasting in particular, remains a young science Experts say some of the models could be off  to  percent The social network for professionals was found to have violated a law requiring it to store local users data within the country"
