snippet,price change,News Sent.
"South Australia had a blackout problem, and the Tesla founder had a solution a battery the size of a football field",pos,neg
"Some of Australias biggest power users, including mining giant BHP, are taking steps to curb the impact of any repeat of crippling blackouts that hit last summer, worried about a grid that increasingly relies on wind power and old coalfired plan Success in the United States used to come easily for German automaker BMW AG, whose sporty sedans in three sizes would be snapped up by affluent consumers",pos,neg
"Heres what you need to know to start your day Tech entrepreneur Elon Musk said on Tuesday The Boring Company will compete to fund, build and operate a highspeed Loop connecting OHare Airport to downtown Chicago",pos,neg
"After Teslas Model S sedans and Model X SUVs roll off the companys Fremont, California assembly line, the electric vehicles usually make another stop  for repairs, nine current and former employees have told Reuters After Teslas Model S sedans and Model X SUVs roll off the companys Fremont, California assembly line, the electric vehicles usually make another stop  for repairs, nine current and former employees have told Reuters Japans Toyota Motor Corp will invest  million zlotys  million in manufacturing a new combustion engine for hybrid vehicles in Poland, the company and Polish authorities said on Tuesday A selfdriving General Motors Co Bolt slowly drove more than two miles through crowded San Francisco streets in its media debut on Tuesday, but doubleparked cars and orange traffic cones tripped up the computer driver, and a taco truck stumped th",pos,neg
"Ebikes, already popular elsewhere, are making inroads in the United States But some models have drawn the scrutiny of lawmakers Though the image of the glamorous business traveler persists, doctors say that frequent travelers report a negative toll on their bodies, and that more research is needed Deutsche Post AGs DHL and Fortigo Freight Services Inc, one of Canadas largest fleet management companies, said on Tuesday they had preordered Tesla Incs electric truck unveiled earlier this month to test on limited routes Tesla Inc chief executive Elon Musk is on track to deliver on a promise by building the worlds biggest lithiumion battery in the Australian Outback within  days, an official said on Tuesday Digital mapping firm HERE said on Tuesday it plans to acquire Advanced Telematic Systems ATS, a Germanybased company that provides over the air software updates for connected and autonomous vehicles A strong economy and faith in Germanys political system soothe investors But the countrys prosperity may mask challenges down the road Previously reluctant to show the autonomous vehicles it is developing, General Motors now wants to signal its progress in getting them to market Former security guard Tim Button considers how a sudden increase in his income from an unusual social experiment has changed his life in this Canadian industrial city along the shore of Lake Ontario",neg,pos
"Many of my Stanford classmates and I had plans to use our education to contribute to this country Instead, were being kicked out",neg,neg
"Mahindra will open the areas first new vehicle assembly factory in  years, building offroad vehicles The move may signal larger ambitions in the American market",pos,neg
"Uber has agreed to buy up to , selfdriving Volvos for its ridehailing network once the technology is productionready",neg,neg
Zhouqin Burnikels Friday puzzle is both trendy and chatty,pos,neg
"GAC Motor wants to lead an export push as China prepares the rest of its auto industry to go global and, in particular, target the American market",pos,neg
"Friday The thousands who seek shelter during winter, sexual harassment allegations reach Al Franken, and a  loaf of bread in San Francisco",pos,neg
"Will companies invest their cash windfall from the Republican tax plans Also, the Murdochs are in talks with suitors interested in pieces of their empire But will they sell",neg,neg
Heres what you need to know to start your day Heres what you need to know to start your day,pos,neg
"The attorney general refrained from offering his view on the proposed deal, as the Justice Department weighs whether to sue to block the transaction Wednesday What qualifies as authentic food, a shooting in small Northern California town, and taps finally turning on in East Porterville Aiming to remake a multibilliondollar industry, the automaker said it would have a semi for sale in two years that would be nearly selfdriving",pos,neg
Reports of widespread harassment of female entrepreneurs by venture investors have shaken up Silicon Valley in recent months,neg,neg
"The move by Qualcomm, which surprised no one, sets up a potential battle between two of the worlds biggest chip makers",neg,neg
"With fewer cultural hurdles and more financial incentives than car owners, bigrig operators are charting the route to an autonomous future The new wave of artificial intelligence will reduce jobs, but will also improve your health and products like your smartphone The question, always a driving force in fashion, has become even more meaningful in todays unpredictable environment",neg,neg
Heres what you need to know to start your day,neg,neg
"As technology has made extraordinary leaps, autonomous vehicles may cease to be science fiction The Times Magazines Tech  Design issue ponders What happens then",pos,neg
